Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Etat arc_Barré;Etat arc_Invalide
AV_Champs_Elysees;2022-05-03 22:00:00;971.0;26.96444;2;0;1
AV_Champs_Elysees;2022-05-03 16:00:00;1047.0;27.83278;2;0;1
AV_Champs_Elysees;2022-05-03 15:00:00;1048.0;39.01222;3;0;1
AV_Champs_Elysees;2022-05-03 13:00:00;1067.0;49.82889;3;0;1
AV_Champs_Elysees;2022-05-03 07:00:00;870.0;19.54278;2;0;1
AV_Champs_Elysees;2022-05-03 03:00:00;534.0;6.75889;1;0;1
AV_Champs_Elysees;2022-05-03 02:00:00;620.0;9.59833;1;0;1
AV_Champs_Elysees;2022-08-03 13:00:00;681.6;11.524886;0;0;1
AV_Champs_Elysees;2022-08-03 12:00:00;743.2;13.451442;0;0;1
AV_Champs_Elysees;2022-08-03 11:00:00;804.8;15.377998000000002;0;0;1
AV_Champs_Elysees;2022-08-03 10:00:00;866.4;17.304554000000003;0;0;1
AV_Champs_Elysees;2022-08-03 07:00:00;928.0;19.23111;0;0;1
AV_Champs_Elysees;2022-08-03 04:00:00;989.6;21.157666000000003;0;0;1
AV_Champs_Elysees;2022-08-03 03:00:00;1051.2;23.084222000000004;0;0;1
AV_Champs_Elysees;2022-08-03 02:00:00;1112.8;25.010778000000002;0;0;1
AV_Champs_Elysees;2022-08-03 01:00:00;1174.4;26.937334000000003;0;0;1
AV_Champs_Elysees;2022-05-09 19:00:00;1236.0;28.86389;2;0;1
AV_Champs_Elysees;2022-04-14 15:00:00;1214.0;20.13278;2;0;1
AV_Champs_Elysees;2022-03-02 23:00:00;783.0;11.90667;1;0;1
AV_Champs_Elysees;2022-03-02 14:00:00;1058.0;25.08945;2;0;1
AV_Champs_Elysees;2022-03-02 21:00:00;1015.0;22.01;2;0;1
AV_Champs_Elysees;2022-03-02 12:00:00;1132.0;18.76444;2;0;1
AV_Champs_Elysees;2022-03-03 00:00:00;764.0;12.50056;1;0;1
AV_Champs_Elysees;2022-03-02 10:00:00;1143.0;14.0;1;0;1
AV_Champs_Elysees;2022-03-02 08:00:00;998.0;9.76278;1;0;1
AV_Champs_Elysees;2022-03-02 11:00:00;1161.0;15.99389;2;0;1
AV_Champs_Elysees;2022-03-02 05:00:00;221.0;2.26;1;0;1
AV_Champs_Elysees;2022-03-02 04:00:00;258.0;2.94278;1;0;1
AV_Champs_Elysees;2022-03-02 01:00:00;675.0;8.76945;1;0;1
